raman_shift_cm_1,intensity
200,36.898855
210,37.222351
220,37.631734
230,38.092162
240,38.565307
250,39.012135
260,39.39574
270,39.684023
280,39.852026
290,39.883739
300,39.773267
310,39.525252
320,39.154545
330,38.685118
340,38.148331
350,37.580651
360,37.021006
370,36.507958
380,36.076904
390,35.757508
400,35.571541
410,35.531308
420,35.63878
430,35.885896
440,36.260738
450,36.796614
460,37.852971
470,41.155365
480,51.84976
490,78.67307
500,125.466202
510,176.549917
520,199.566596
530,176.680577
540,125.721084
550,79.039769
560,52.3108
570,41.689471
580,38.436611
590,37.405711
600,36.872415
610,36.480139
620,36.199887
630,36.049037
640,36.041844
650,36.182832
660,36.466011
670,36.875287
680,37.385628
690,37.964883
700,38.576115
710,39.180283
720,39.739077
730,40.217699
740,40.587391
750,40.827518
760,40.927072
770,40.885469
780,40.71259
790,40.428066
800,40.059849
810,39.642188
820,39.213138
830,38.811799
840,38.475477
850,38.236976
860,38.122214
870,38.148345
880,38.322511
890,38.641323
900,39.091111
910,39.648909
920,40.284132
930,40.960788
940,41.640096
950,42.283301
960,42.854486
970,43.323181
980,43.666573
990,43.871168
1000,43.933764
1010,43.861686
1020,43.672256
1030,43.391533
1040,43.052423
1050,42.692286
1060,42.35023
1070,42.064266
1080,41.868551
1090,41.790907
1100,41.850802
1110,42.057937
1120,42.411538
1130,42.900418
1140,43.503785
1150,44.192754
1160,44.93244
1170,45.684497
1180,46.409906
1190,47.071839
1200,47.638495
1210,48.086113
1220,48.403349
1230,48.600813
1240,48.734813
1250,48.961535
1260,49.639507
1270,51.476034
1280,55.64679
1290,63.719174
1300,77.167709
1310,96.427708
1320,119.838588
1330,143.237655
1340,160.904358
1350,167.776921
1360,161.818747
1370,145.039251
1380,122.475001
1390,99.825144
1400,81.236328
1410,68.359611
1420,60.75737
1430,56.960163
1440,55.412737
1450,54.958069
1460,54.914403
1470,54.961879
1480,55.024181
1490,55.256388
1500,56.212154
1510,59.214245
1520,66.753832
1530,82.34634
1540,109.034314
1550,146.420239
1560,187.9441
1570,221.483278
1580,234.737701
1590,222.467895
1600,189.891073
1610,149.286663
1620,112.759752
1630,86.857212
1640,71.968751
1650,65.049885
1660,62.589098
1670,62.103992
1680,62.282145
1690,62.572352
1700,62.789404
1710,62.890818
1720,62.883812
1730,62.793893
1740,62.654924
1750,62.504921
1760,62.382972
1770,62.326355
1780,62.367821
1790,62.533219
1800,62.839619
